timestamp,iteration,duration_ms,package,version,digest,gateway_status,har_files,ingested_at
2026-01-19T14:56:58.539893Z,1,21,,,sha256:4e45c94bd2c1aa62a15285c37187eeac4ab3e4a0d978dba808b4738317c2763c,status_404,1,2026-01-19T14:56:58.442111Z
2026-01-19T14:56:58.542313Z,2,1,,,sha256:3acb9283f5685e1989a96d2860ef59b95e5f154ce138f37fd9c56d5ef1becd80,status_404,1,2026-01-19T14:56:58.541004Z
2026-01-19T14:56:58.544428Z,3,1,,,sha256:7e6ec72d1803e27988959fa2b8c568ecb383e2654f71b391d4416d3e1fb62937,status_404,1,2026-01-19T14:56:58.543280Z
2026-01-19T14:56:58.546444Z,4,1,,,sha256:fbfc963823382a0644523ef9f808642b54df38eeaf43a2a6ac571c152c3fc830,status_404,1,2026-01-19T14:56:58.545295Z
2026-01-19T14:56:58.548343Z,5,1,,,sha256:4804870b26cd4037d26753fcb1811e5290fb46445ffff4d8c9b5b544ed33e4eb,status_404,1,2026-01-19T14:56:58.547256Z
